,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,30_day_MA,50_day_MA,100_day_MA,200_day_MA,4_week_high,4_week_low,10_week_high,10_week_low,52_week_high,52_week_low
2023-02-08,273.2,276.76,266.21,266.73,266.73,54686049,0.0,1.0,242.15666666666667,242.15666666666667,240.3788342560125,253.11665778827484,267.56,222.31,267.56,213.648993440865,339.886189703787,213.648993440865
2023-02-07,260.53,268.775,260.08,267.56,267.56,50841365,0.0,1.0,241.22333333333336,241.22333333333336,240.1584509426179,253.143093784091,267.56,222.31,267.56,213.648993440865,339.886189703787,213.648993440865
2023-02-06,257.44,258.3,254.78,256.77,256.77,22517997,0.0,1.0,240.24433333333334,240.24433333333334,239.99797575595068,253.19903077816147,264.6,222.31,264.6,213.648993440865,339.886189703787,213.648993440865
2023-02-03,259.542,264.2,257.1,258.35,258.35,29077256,0.0,1.0,239.833,239.833,239.94310702116252,253.33646394336935,264.6,222.31,264.6,213.648993440865,339.886189703787,213.648993440865
2023-02-02,258.82,264.69,257.25,264.6,264.6,39940437,0.0,1.0,239.28133333333335,239.28133333333335,240.01862704921416,253.46073603805368,264.6,222.31,264.6,213.648993440865,339.886189703787,213.648993440865
2023-02-01,248.0,255.18,245.47,252.75,252.75,31259912,0.0,1.0,238.47633333333334,238.47633333333334,240.009808510375,253.53003368264135,252.75,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-31,243.45,247.95,242.945,247.81,247.81,26541072,0.0,1.0,238.20766666666665,238.20766666666665,240.06025659832517,253.65515666811459,248.16,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-30,244.51,245.6,242.2,242.71,242.71,25867365,0.0,1.0,238.24766666666667,238.24766666666667,240.15581674848397,253.8436435586617,248.16,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-27,248.99,249.83,246.83,248.16,248.16,26498939,0.0,1.0,238.73133333333334,238.73133333333334,240.25411266861929,254.03003464533072,248.16,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-26,243.65,248.31,242.0,248.0,248.0,33454491,0.0,1.0,239.02333333333337,239.02333333333337,240.3259297636236,254.20505820905194,249.01,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
