,open,high,low,close,adjusted_close,volume,30_day_MA,50_day_MA,100_day_MA,200_day_MA,4_week_high,4_week_low,10_week_high,10_week_low,52_week_high,52_week_low
2023-01-31,243.08,249.83,219.35,247.81,247.81,666168068,238.20766666666665,238.20766666666665,240.06025659832517,253.65515666811459,248.16,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2022-12-31,253.87,263.915,233.87,239.82,239.82,591366468,245.35899999999998,245.35899999999998,247.58151724711183,259.9174913910983,257.22,234.53,257.22,213.648993440865,339.886189703787,213.648993440865
2022-11-30,234.6,255.33,213.431,255.14,255.14,615328220,236.94629472106485,236.94629472106485,251.91537114452458,264.324128567689,255.14,213.648993440865,278.067779794563,213.648993440865,339.886189703787,213.648993440865
2022-10-31,235.41,251.04,219.13,232.13,231.478837094179,671366804,236.78225162603306,236.78225162603306,255.99255674270637,270.9124272451194,249.956857390372,224.777687801658,292.02526730433,224.777687801658,339.886189703787,224.777687801658
2022-09-30,258.87,267.45,232.73,232.9,232.246677117281,575416752,254.4392481745803,254.4392481745803,261.613273967496,280.07141242944584,278.067779794563,232.246677117281,292.02526730433,232.246677117281,339.886189703787,232.246677117281
2022-08-31,277.82,294.18,260.66,261.47,260.736533558847,476959033,276.0097533538959,276.0097533538959,268.4353783099964,288.96549125271076,292.02526730433,250.659913565137,292.02526730433,241.067370624415,339.886189703787,228.285873569264
2022-07-31,256.39,282.0,245.94,280.74,279.35793622182,534986150,259.0112637090338,259.0112637090338,272.43925401090183,293.34053434743487,279.35793622182,250.659913565137,287.850043474633,241.067370624415,339.886189703787,223.244581041014
2022-06-30,275.195,277.69,241.51,256.83,255.565643513037,621501474,258.82153568129894,258.82153568129894,278.84043761853593,296.2743877325267,273.228261479616,241.067370624415,313.093255439457,241.067370624415,339.886189703787,221.004827956151
2022-05-31,277.71,290.88,246.44,271.87,270.531602623873,742766114,269.17036938663205,269.17036938663205,288.2514120064923,300.24008340341567,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-04-30,309.37,315.11,270.0,277.52,275.481564470239,622644983,292.35040952435827,292.35040952435827,301.86706390280705,302.0635939881643,313.093255439457,268.235184315178,313.093255439457,268.235184315178,339.886189703787,206.406740462581
2022-03-31,296.4,315.95,270.0,308.31,306.045406247548,732627846,292.4883885437493,292.4883885437493,310.7885121225588,300.24077749758567,313.093255439457,273.823830927917,339.232390965177,273.823830927917,339.886189703787,198.237935869449
2022-02-28,310.41,315.12,271.52,298.79,296.595332401495,697204843,297.0213458558688,297.0213458558688,314.2852575064078,294.9236844806566,310.514776673804,278.211365213585,339.886189703787,278.211365213585,339.886189703787,196.337171793006
2022-01-31,335.35,338.0,276.05,310.98,308.05807838327,946705316,314.1872764570473,314.1872764570473,313.29385731984615,290.4300444658072,339.232390965177,285.779391063057,339.886189703787,285.779391063057,339.886189703787,196.337171793006
2021-12-31,335.13,344.3,317.25,336.32,333.159987529298,625743806,330.8112650910492,330.8112650910492,311.1015886149907,283.96718933673816,339.321545338624,316.904173437494,339.886189703787,278.761472965514,339.886189703787,196.337171793006
2021-11-30,331.355,349.67,326.37,330.59,327.483825753184,507120518,326.0318812671363,326.0318812671363,300.3667818080536,273.08654774842887,339.886189703787,304.67782585437,339.886189703787,278.761472965514,339.886189703787,191.892592516852
2021-10-31,282.1217,332.0,280.25,331.62,327.904652613592,516523658,296.79019720139763,296.79019720139763,285.9284828538925,262.4455961918364,327.904652613592,278.761472965514,327.904652613592,278.761472965514,327.904652613592,177.30003709345
2021-09-30,302.865,305.32,281.62,281.92,278.761472965514,502931199,294.9596055195369,294.9596055195369,274.2195191828489,253.53742814863637,301.800428414211,278.761472965514,301.800428414211,261.547026122548,301.800428414211,165.51732278877
2021-08-31,286.36,305.84,283.74,301.88,298.49784853444,440360333,288.5395699688734,288.5395699688734,265.39365003604115,244.75824701120607,301.236814482633,281.087555581556,301.236814482633,242.490075422878,301.236814482633,143.205965868477
2021-07-31,269.61,290.15,269.6,284.91,281.176376170006,522303043,273.2754558622327,273.2754558622327,253.17731261299872,235.8125315329853,285.873998403586,261.547026122548,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-06-30,251.23,271.65,243.0,270.9,267.349971234617,508388858,252.84770741415105,252.84770741415105,243.76681317112795,228.1047869454586,267.843418948228,241.957151892178,267.843418948228,228.285873569264,267.843418948228,131.996677769597
2021-05-31,253.4,254.35,238.07,249.68,246.408050268952,495089530,247.17951424354416,247.17951424354416,236.53340835806168,223.1391762900095,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-04-30,238.47,263.19,238.0501,252.18,248.303349565223,568698272,245.44267862276075,245.44267862276075,230.70551369575193,219.0579564740058,257.942852270606,228.285873569264,257.942852270606,221.004827956151,257.942852270606,131.996677769597
2021-03-31,235.9,241.05,224.26,235.77,232.145613161205,724981506,230.50030069739535,230.50030069739535,222.18974786232477,213.51382241494312,234.055790408237,223.244581041014,240.671968711283,208.509022241601,240.671968711283,131.996677769597
2021-02-28,245.0,246.13,227.88,232.38,228.807726116133,314212003,230.81319231090512,230.81319231090512,217.1827410923639,207.8303479120646,240.671968711283,212.625172079963,240.671968711283,206.406740462581,240.671968711283,130.445064968626
