,open,high,low,close,adjusted_close,volume,30_day_MA,50_day_MA,100_day_MA,200_day_MA,4_week_high,4_week_low,10_week_high,10_week_low,52_week_high,52_week_low
2023-02-05,244.51,264.69,242.2,258.35,258.35,152686042,239.833,239.833,239.94310702116252,253.33646394336935,264.6,222.31,264.6,213.648993440865,339.886189703787,213.648993440865
2023-01-29,241.1,249.83,230.9,248.16,248.16,198648466,238.73133333333334,238.73133333333334,240.25411266861929,254.03003464533072,248.16,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-22,237.97,242.38,230.68,240.22,240.22,123872791,239.57233333333335,239.57233333333335,241.06487356957223,255.33811685359046,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-15,226.45,239.9,226.41,239.23,239.23,131675747,241.463,241.463,242.54264003960233,256.78358578927117,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-08,243.08,245.75,219.35,224.93,224.93,159562627,243.557,243.557,245.18230004978267,258.546770996236,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-01,238.7,241.92,234.17,239.82,239.82,75854917,245.35899999999998,245.35899999999998,247.58151724711183,259.9174913910983,257.22,234.53,257.22,213.648993440865,339.886189703787,213.648993440865
2022-12-25,244.86,245.615,233.87,238.73,238.73,128396491,245.9586820813223,245.9586820813223,249.29452848964777,260.80434545648734,257.22,238.19,257.22,213.648993440865,339.886189703787,213.648993440865
2022-12-18,247.445,263.915,243.51,244.69,244.69,229942973,243.91889365125198,243.91889365125198,251.11447913052805,261.8277920248351,257.22,223.880212449981,265.902002805165,213.648993440865,339.886189703787,213.648993440865
2022-12-11,252.01,253.819,242.205,245.42,245.42,109602043,239.4855171541328,239.4855171541328,251.49345112064427,262.9072247038774,255.14,213.648993440865,265.902002805165,213.648993440865,339.886189703787,213.648993440865
2022-12-04,246.08,256.12,238.21,255.02,255.02,137930867,238.22648822243306,238.22648822243306,251.97350037714668,263.8979438372207,255.14,213.648993440865,278.067779794563,213.648993440865,339.886189703787,213.648993440865
2022-11-27,241.43,248.7,240.71,247.49,247.49,74769633,235.7924116854365,235.7924116854365,252.50935963213243,265.05815334276775,249.956857390372,213.648993440865,289.356025328988,213.648993440865,339.886189703787,213.648993440865
2022-11-20,241.985,247.0,237.63,241.22,241.22,137343796,233.45688688585452,233.45688688585452,253.09109186059385,266.20326368935093,249.956857390372,213.648993440865,292.02526730433,213.648993440865,339.886189703787,213.648993440865
2022-11-13,221.99,247.99,221.28,247.11,246.416815725424,170431704,233.77803598586414,233.77803598586414,254.04065409638025,267.810370092455,249.956857390372,213.648993440865,292.02526730433,213.648993440865,339.886189703787,213.648993440865
2022-11-06,233.76,235.74,213.431,221.39,220.768964564168,170779529,234.2430611773442,234.2430611773442,254.81101393389105,269.2878900736748,249.956857390372,213.648993440865,292.02526730433,213.648993440865,339.886189703787,213.648993440865
2022-10-30,243.76,251.04,225.78,235.87,235.208345777814,223443932,237.1940930929692,237.1940930929692,256.3685562728026,271.2647137833481,249.956857390372,224.777687801658,292.02526730433,224.777687801658,339.886189703787,224.777687801658
2022-10-23,235.82,243.93,234.29,242.12,241.440813497793,122568305,239.49196239154057,239.49196239154057,257.99932292836576,273.12536746742904,251.512481333278,224.777687801658,292.02526730433,224.777687801658,339.886189703787,224.777687801658
2022-10-16,233.05,237.24,219.13,228.56,227.918851532528,154871905,242.80264924439317,242.80264924439317,259.3907962090484,275.38928183069595,265.902002805165,224.777687801658,292.02526730433,224.777687801658,339.886189703787,224.777687801658
2022-10-09,235.41,250.58,233.17,234.24,233.582918196444,142125397,248.61795712498116,248.61795712498116,260.7934316435127,278.0774050489228,265.902002805165,232.246677117281,292.02526730433,232.246677117281,339.886189703787,232.246677117281
2022-10-02,237.045,242.33,232.73,232.9,232.246677117281,146921666,254.4392481745803,254.4392481745803,261.613273967496,280.07141242944584,278.067779794563,232.246677117281,292.02526730433,232.246677117281,339.886189703787,232.246677117281
2022-09-25,242.465,247.66,235.2,237.92,237.252595189967,147215927,263.493284635543,263.493284635543,263.57544242046174,282.4742900302327,291.26900873224,237.252595189967,292.02526730433,237.252595189967,339.886189703787,235.325959814769
2022-09-18,265.78,267.45,242.0627,244.74,244.053463966008,147336678,270.602309227942,270.602309227942,265.50843536139047,284.608319295237,292.02526730433,244.053463966008,292.02526730433,241.067370624415,339.886189703787,235.325959814769
2022-09-11,256.2,265.23,251.94,264.46,263.718146116084,87823670,275.11419852054496,275.11419852054496,266.9028450268932,286.60498324803297,292.02526730433,252.539592013531,292.02526730433,241.067370624415,339.886189703787,235.325959814769
2022-09-04,265.85,267.4,254.47,256.06,255.341709500433,113799087,275.7563122935158,275.7563122935158,267.8059566220422,288.2004922134006,292.02526730433,255.341709500433,292.02526730433,241.067370624415,339.886189703787,228.285873569264
2022-08-28,282.08,282.46,267.98,268.09,267.337963367848,104858212,275.50224380491323,275.50224380491323,269.6113601376087,289.971951682013,292.02526730433,250.659913565137,292.02526730433,241.067370624415,339.886189703787,226.808932398878
2022-08-21,291.0,294.18,285.56,286.15,285.347302091498,92198119,272.24666934719335,272.24666934719335,271.3857554385761,291.40978500776436,292.02526730433,250.659913565137,292.02526730433,241.067370624415,339.886189703787,226.808932398878
2022-08-14,284.05,291.91,277.61,291.91,290.472947077408,109536514,267.90260900879167,267.90260900879167,272.00925550245154,292.2835213675227,290.472947077408,250.659913565137,290.472947077408,241.067370624415,339.886189703787,223.894435155984
2022-08-07,277.82,283.8,272.38,282.91,281.517253460551,102685912,263.7713807125713,263.7713807125713,272.4276477476487,292.80645784096146,282.25361049127,250.659913565137,287.850043474633,241.067370624415,339.886189703787,223.244581041014
2022-07-31,260.995,282.0,249.57,280.74,279.35793622182,172010083,259.0112637090338,259.0112637090338,272.43925401090183,293.34053434743487,279.35793622182,250.659913565137,287.850043474633,241.067370624415,339.886189703787,223.244581041014
2022-07-24,259.75,265.33,253.3,260.36,259.078265564982,113061843,256.34677901184085,256.34677901184085,273.629927694324,293.9575926003659,267.078685196041,241.067370624415,287.850043474633,241.067370624415,339.886189703787,223.244581041014
2022-07-17,265.65,266.53,245.94,256.72,255.456185035498,139761854,258.17141866318633,258.17141866318633,275.16114460650743,294.5378906936069,271.158501177053,241.067370624415,308.596529124056,241.067370624415,339.886189703787,223.244581041014
