,open,high,low,close,adjusted_close,volume,dividend_amount
2023-02-07,257.44,268.775,254.78,267.56,267.56,73359362,0.0
2023-02-03,244.51,264.69,242.2,258.35,258.35,152686042,0.0
2023-01-27,241.1,249.83,230.9,248.16,248.16,198648466,0.0
2023-01-20,237.97,242.38,230.68,240.22,240.22,123872791,0.0
2023-01-13,226.45,239.9,226.41,239.23,239.23,131675747,0.0
2023-01-06,243.08,245.75,219.35,224.93,224.93,159562627,0.0
2022-12-30,238.7,241.92,234.17,239.82,239.82,75854917,0.0
2022-12-23,244.86,245.615,233.87,238.73,238.73,128396491,0.0
2022-12-16,247.445,263.915,243.51,244.69,244.69,229942973,0.0
2022-12-09,252.01,253.819,242.205,245.42,245.42,109602043,0.0
2022-12-02,246.08,256.12,238.21,255.02,255.02,137930867,0.0
2022-11-25,241.43,248.7,240.71,247.49,247.49,74769633,0.0
2022-11-18,241.985,247.0,237.63,241.22,241.22,137343796,0.68
2022-11-11,221.99,247.99,221.28,247.11,246.4168,170431704,0.0
2022-11-04,233.76,235.74,213.431,221.39,220.769,170779529,0.0
2022-10-28,243.76,251.04,225.78,235.87,235.2083,223443932,0.0
2022-10-21,235.82,243.93,234.29,242.12,241.4408,122568305,0.0
2022-10-14,233.05,237.24,219.13,228.56,227.9189,154871905,0.0
2022-10-07,235.41,250.58,233.17,234.24,233.5829,142125397,0.0
2022-09-30,237.045,242.33,232.73,232.9,232.2467,146921666,0.0
2022-09-23,242.465,247.66,235.2,237.92,237.2526,147215927,0.0
2022-09-16,265.78,267.45,242.0627,244.74,244.0535,147336678,0.0
2022-09-09,256.2,265.23,251.94,264.46,263.7181,87823670,0.0
2022-09-02,265.85,267.4,254.47,256.06,255.3417,113799087,0.0
2022-08-26,282.08,282.46,267.98,268.09,267.338,104858212,0.0
2022-08-19,291.0,294.18,285.56,286.15,285.3473,92198119,0.62
2022-08-12,284.05,291.91,277.61,291.91,290.4729,109536514,0.0
2022-08-05,277.82,283.8,272.38,282.91,281.5173,102685912,0.0
2022-07-29,260.995,282.0,249.57,280.74,279.3579,172010083,0.0
2022-07-22,259.75,265.33,253.3,260.36,259.0783,113061843,0.0
2022-07-15,265.65,266.53,245.94,256.72,255.4562,139761854,0.0
2022-07-08,256.16,269.055,254.74,267.66,266.3423,87314678,0.0
2022-07-01,268.205,268.3,252.9,259.58,258.3021,126633760,0.0
2022-06-24,250.255,267.98,249.51,267.7,266.3821,115674192,0.0
2022-06-17,245.11,255.3,241.51,247.65,246.4308,184152944,0.0
2022-06-10,272.06,274.18,252.53,252.99,251.7445,120518929,0.0
2022-06-03,272.53,277.69,261.6,270.02,268.6907,135187036,0.0
2022-05-27,255.49,273.34,253.43,273.24,271.8949,142680141,0.0
2022-05-20,259.955,268.33,246.44,252.56,251.3167,164627282,0.62
2022-05-13,270.06,273.75,250.02,261.12,259.202,221997169,0.0
2022-05-06,277.71,290.88,271.27,274.73,272.7121,175633827,0.0
