Symbol,CIK,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding
A,1090872.0,45074002000.0,1994000000.0,36.42,2.36,17.97,0.84,0.0058,4.18,22.9,0.183,0.245,0.0987,0.234,6848000000.0,3722000000.0,4.18,-0.146,0.114,163.71,36.42,26.95,6.5,8.63,6.92,24.87,1.045,160.03,111.96,153.14,134.19,295860000.0
AA,1675149.0,9205927000.0,2003000000.0,10.12,-0.29,28.58,0.4,0.0073,5.14,68.92,-0.0082,0.111,0.0581,0.0092,12451000000.0,2239000000.0,5.14,0.81,-0.203,53.73,10.12,12.02,0.583,1.485,0.63,5.12,2.463,97.48,33.47,48.51,49.43,176969000.0
AAL,6201.0,11008862000.0,4103000000.0,89.05,0.627,-8.91,0.0,0.0303,0.19,75.3,0.0026,0.0369,0.0172,0.0,48971002000.0,11340000000.0,0.19,1.735,0.399,16.57,89.05,8.33,0.186,0.934,-361.05,1.54,21.42,11.65,14.6,14.63,650642000.0,
AAP,1158449.0,8987009000.0,1012869000.0,19.44,0.909,45.86,5.5,0.0383,7.8,181.3,0.043,0.0661,0.0382,0.161,11077951000.0,4931356000.0,7.8,-0.313,0.008,165.72,19.44,11.03,0.766,3.13,1.077,12.61,1.139,226.09,138.52,148.28,174.84,59254000.0
AAPL,320193.0,2400656818000.0,125287997000.0,25.76,2.75,3.581,0.91,0.006,5.89,24.08,0.246,0.294,0.196,1.479,387537011000.0,170782000000.0,5.89,-0.105,-0.055,168.9,25.76,23.09,5.51,44.63,5.92,17.53,1.278,178.8,124.17,138.92,147.72,15821900000.0
AB,825313.0,3886523000.0,11.45,11.37,15.63,3.54,0.0945,3.38,3.705,0.912,1.0,0.13,0.215,367707000.0,416326000.0,3.38,-0.372,-0.334,37.4,11.45,15.17,10.42,2.51,1.365,46.94,30.75,37.87,39.74,100401000.0,,,
ABB,1091587.0,63877612000.0,4266000000.0,25.57,0.276,6.85,0.908,0.0255,1.32,15.51,0.0841,0.117,0.0543,0.18,29446001000.0,9710000000.0,1.32,-0.551,0.034,36.86,25.57,18.98,1.934,5.03,2.207,10.46,1.046,35.54,24.27,32.16,29.34,1865000000.0
ABBV,1551152.0,256783286000.0,29801001000.0,19.36,1.279,9.04,5.64,0.0408,7.5,32.64,0.232,0.372,0.0927,0.906,57819001000.0,38883000000.0,7.5,0.242,0.033,162.96,19.36,14.39,4.989,18.23,6.04,13.8,0.583,169.46,131.49,157.82,149.24,1768480000.0
ABNB,1559720.0,74936500000.0,1683518000.0,47.15,8.75,0.0,0.0,2.51,12.63,0.203,0.206,0.0696,0.326,8029650000.0,4835927000.0,2.51,0.467,0.289,124.45,47.15,30.67,7.14,10.74,6.5,28.41,1.013,191.73,81.91,96.45,109.23,398247000.0,
ABT,1800.0,193100382000.0,12038999000.0,28.32,18.76,20.46,1.92,0.0182,3.91,24.75,0.159,0.201,0.0882,0.193,43653001000.0,24676000000.0,3.91,-0.47,-0.12,123.5,28.32,25.13,4.202,5.44,4.452,15.2,0.655,128.5,92.83,109.6,107.55,1743570000.0
ACB,1683541.0,345949000.0,-164892992.0,1.852,0.0,0.0,-4.702,0.875,0.0,-1.085,-0.0765,-1.342,210494000.0,21225000.0,-4.702,-0.917,-0.18,3.04,1.603,0.874,1.53,-0.198,3.017,4.9,0.821,1.05,1.515,324333000.0,,,,
ACLS,1113232.0,3808467000.0,208995000.0,23.05,1.23,18.67,0.0,0.0,5.03,25.92,0.188,0.236,0.157,0.287,859631000.0,286445000.0,5.03,0.494,0.297,107.2,23.05,13.48,3.163,4.563,2.92,12.48,1.68,121.58,46.41,90.65,69.09,32848600.0
ACN,1467373.0,182280323000.0,10576087000.0,26.27,2.975,36.5,4.18,0.0155,11.01,98.66,0.113,0.153,0.131,0.321,62376956000.0,19701539000.0,11.01,0.108,0.052,316.54,26.27,25.58,2.878,8.69,3.043,18.53,1.235,351.21,241.96,280.0,284.76,629740000.0
ADBE,796343.0,171780293000.0,6716000000.0,35.84,1.481,30.41,0.0,0.0,10.47,37.5,0.27,0.346,0.14,0.33,17606001000.0,15441000000.0,10.47,-0.016,0.101,383.13,35.84,22.22,8.89,10.99,9.13,22.68,1.221,522.48,274.73,344.85,361.95,457800000.0
ADI,6281.0,89905996000.0,6118232000.0,33.82,1.526,71.6,3.04,0.0172,5.25,23.14,0.229,0.318,0.0465,0.0738,12013953000.0,7803870000.0,5.25,10.98,0.388,194.37,33.82,17.06,7.04,2.398,7.71,16.54,1.166,181.34,132.89,168.04,158.48,506370000.0
ADM,7084.0,45166100000.0,5196000000.0,10.71,16.43,44.39,1.65,0.0216,7.71,180.9,0.0426,0.0409,0.0559,0.184,101847998000.0,7607000000.0,7.71,0.333,0.136,102.92,10.71,14.45,0.514,2.124,0.604,9.31,0.843,98.12,69.4,89.55,86.6,547070000.0
ADSK,769397.0,47110566000.0,1035100000.0,74.77,1.079,4.194,0.0,0.0,2.92,22.53,0.126,0.197,0.0704,0.566,4898400000.0,4021400000.0,2.92,0.468,0.137,228.26,74.77,27.25,8.55,47.65,9.06,43.62,1.467,251.42,163.2,198.78,198.67,215767000.0
