symbol,name,exchange,assetType,ipoDate,ipoYear
BA,Boeing Company,NYSE,Stock,1962-01-02,1962
HWM,Howmet Aerospace Inc,NYSE,Stock,1962-01-02,1962
IBM,International Business Machines Corp,NYSE,Stock,1962-01-02,1962
KO,Coca-Cola Company,NYSE,Stock,1962-01-02,1962
CAT,Caterpillar Inc,NYSE,Stock,1962-01-02,1962
HPQ,HP Inc,NYSE,Stock,1962-01-02,1962
DD,DuPont de Nemours Inc,NYSE,Stock,1962-01-02,1962
DIS,Walt Disney Co (The),NYSE,Stock,1962-01-02,1962
GE,General Electric Company,NYSE,Stock,1962-01-02,1962
XOM,Exxon Mobil Corp,NYSE,Stock,1970-01-02,1970
IP,International Paper Company,NYSE,Stock,1970-01-02,1970
GT,Goodyear Tire & Rubber Company,NASDAQ,Stock,1970-01-02,1970
PG,Procter & Gamble Company,NYSE,Stock,1970-01-02,1970
MCD,McDonald`s Corp,NYSE,Stock,1970-01-02,1970
FL,Foot Locker Inc,NYSE,Stock,1970-01-02,1970
JNJ,Johnson & Johnson,NYSE,Stock,1970-01-02,1970
ED,Consolidated Edison Inc,NYSE,Stock,1970-01-02,1970
MMM,3M Company,NYSE,Stock,1970-01-02,1970
MO,Altria Group Inc,NYSE,Stock,1970-01-02,1970
CVX,Chevron Corp,NYSE,Stock,1970-01-02,1970
MRO,Marathon Oil Corporation,NYSE,Stock,1970-01-02,1970
HON,Honeywell International Inc,NASDAQ,Stock,1970-01-02,1970
CNP,Centerpoint Energy Inc,NYSE,Stock,1970-01-02,1970
RTX,Raytheon Technologies Corporation,NYSE,Stock,1970-01-02,1970
MRK,Merck & Co Inc,NYSE,Stock,1970-01-02,1970
F,Ford Motor Company,NYSE,Stock,1972-06-01,1972
ETR,Entergy Corp,NYSE,Stock,1972-06-01,1972
EMR,Emerson Electric Company,NYSE,Stock,1972-06-01,1972
ETN,Eaton Corporation plc,NYSE,Stock,1972-06-01,1972
TXN,Texas Instruments Inc,NASDAQ,Stock,1972-06-01,1972
UIS,Unisys Corp,NYSE,Stock,1972-06-01,1972
BMY,Bristol-Myers Squibb Company,NYSE,Stock,1972-06-01,1972
AXP,American Express Company,NYSE,Stock,1972-06-01,1972
SJW,SJW Group,NYSE,Stock,1972-06-01,1972
PBI,Pitney Bowes Inc,NYSE,Stock,1972-06-01,1972
DE,Deere & Company,NYSE,Stock,1972-06-01,1972
LLY,Lilly(Eli) & Company,NYSE,Stock,1972-06-01,1972
PFE,Pfizer Inc,NYSE,Stock,1972-06-01,1972
PEP,PepsiCo Inc,NASDAQ,Stock,1972-06-01,1972
HAL,Halliburton Company,NYSE,Stock,1972-06-01,1972
WMT,Walmart Inc,NYSE,Stock,1972-08-25,1972
ALE,Allete Inc,NYSE,Stock,1973-05-03,1973
SVT,Servotronics Inc,NYSE MKT,Stock,1973-05-03,1973
AXR,AMREP Corp,NYSE,Stock,1973-05-03,1973
ALCO,Alico Inc,NASDAQ,Stock,1973-05-03,1973
AVT,Avnet Inc,NASDAQ,Stock,1973-05-03,1973
PHI,PLDT Inc,NYSE,Stock,1973-05-03,1973
GTY,Getty Realty Corp,NYSE,Stock,1973-05-03,1973
CHE,Chemed Corp,NYSE,Stock,1973-05-03,1973
BF-A,Brown-Forman Corp - Class A,NYSE,Stock,1973-05-03,1973
WY,Weyerhaeuser Company,NYSE,Stock,1973-05-03,1973
BRT,BRT Apartments Corp,NYSE,Stock,1973-05-03,1973
GFF,Griffon Corp,NYSE,Stock,1973-05-03,1973
TPC,Tutor Perini Corp,NYSE,Stock,1973-05-03,1973
BK,Bank Of New York Mellon Corp,NYSE,Stock,1973-05-03,1973
MATX,Matson Inc,NYSE,Stock,1973-05-03,1973
APOG,Apogee Enterprises Inc,NASDAQ,Stock,1973-05-03,1973
DCO,Ducommun Inc,NYSE,Stock,1973-05-03,1973
NYT,New York Times Co. - Class A,NYSE,Stock,1973-05-03,1973
PNR,Pentair plc,NYSE,Stock,1973-05-03,1973
SYY,Sysco Corp,NYSE,Stock,1973-05-08,1973
SONY,Sony Group Corporation,NYSE,Stock,1974-07-26,1974
TM,Toyota Motor Corporation,NYSE,Stock,1976-08-18,1976
CL,Colgate-Palmolive Company,NYSE,Stock,1977-01-03,1977
XRX,Xerox Holdings Corp,NASDAQ,Stock,1977-01-03,1977
LMT,Lockheed Martin Corp,NYSE,Stock,1977-01-03,1977
KR,Kroger Company,NYSE,Stock,1977-01-03,1977
MSI,Motorola Solutions Inc,NYSE,Stock,1977-01-03,1977
GD,General Dynamics Corp,NYSE,Stock,1977-01-03,1977
BP,BP plc,NYSE,Stock,1977-01-03,1977
NC,Nacco Industries Inc - Class A,NYSE,Stock,1977-06-17,1977
ASA,ASA Gold and Precious Metals Ltd,NYSE,ETF,1978-01-03,1978
FDX,Fedex Corp,NYSE,Stock,1978-04-12,1978
APA,APA Corporation,NASDAQ,Stock,1979-05-15,1979
LUV,Southwest Airlines Company,NYSE,Stock,1980-01-02,1980
PEG,Public Service Enterprise Group Inc,NYSE,Stock,1980-01-02,1980
LXU,LSB Industries Inc,NYSE,Stock,1980-01-02,1980
EIX,Edison International,NYSE,Stock,1980-01-02,1980
R,Ryder System Inc,NYSE,Stock,1980-01-02,1980
EXC,Exelon Corp,NASDAQ,Stock,1980-01-02,1980
UNP,Union Pacific Corp,NYSE,Stock,1980-01-02,1980
BIO,Bio-Rad Laboratories Inc - Class A,NYSE,Stock,1980-02-27,1980
MDC,M.D.C. Holdings Inc,NYSE,Stock,1980-03-11,1980
SIF,SIFCO Industries Inc,NYSE MKT,Stock,1980-03-17,1980
SEB,Seaboard Corp,NYSE MKT,Stock,1980-03-17,1980
INTC,Intel Corp,NASDAQ,Stock,1980-03-17,1980
PW,Power REIT,NYSE MKT,Stock,1980-03-17,1980
BRK-A,Berkshire Hathaway Inc - Class A,NYSE,Stock,1980-03-17,1980
HMC,Honda Motor,NYSE,Stock,1980-03-17,1980
CAJ,Canon Inc,NYSE,Stock,1980-03-17,1980
ROG,Rogers Corp,NYSE,Stock,1980-03-17,1980
SIEB,Siebert Financial Corp,NASDAQ,Stock,1980-03-18,1980
BTI,British American Tobacco Plc,NYSE,Stock,1980-04-14,1980
MUX,McEwen Mining Inc,NYSE,Stock,1980-05-07,1980
